ta,rh,v,met,clo,thermal_sensation
25.2,64.0,0.1,1.0,0.75,-2
28.1,56.7,0.09,1.2,0.53,0
27.9,57.5,0.27,1.7,0.7,0
27.9,57.7,0.61,1.1,0.64,0
27.0,62.1,0.19,1.1,0.59,-1
27.9,59.8,0.08,1.3,0.59,0
28.6,58.0,0.11,1.3,0.59,1
28.3,55.0,0.13,1.3,0.53,0
28.1,54.9,0.34,1.1,0.44,2
28.4,56.2,0.16,1.3,0.46,0
29.1,53.8,0.25,1.3,0.42,1
26.8,63.9,0.02,1.3,0.52,1
27.4,60.8,0.05,1.4,0.44,0
27.4,58.2,0.41,1.1,0.42,-1
27.7,56.9,0.25,1.7,0.55,0
27.9,57.2,0.04,1.7,0.55,0
28.8,60.7,0.02,1.1,0.55,1
27.1,64.8,0.06,1.4,0.55,0
29.0,57.6,0.02,1.6,0.55,-1
28.8,57.7,0.07,1.4,0.55,-1
28.6,54.8,0.2,1.6,0.4,-1
28.5,56.0,0.04,1.4,0.49,-1
24.9,45.5,0.07,1.1,0.7,0
23.4,47.8,0.07,1.4,0.61,-1
23.2,48.0,0.09,1.4,0.57,-1
23.2,49.2,0.08,1.4,0.57,-1
23.7,46.7,0.12,1.1,0.63,0
23.3,46.6,0.19,1.1,0.7,0
28.3,57.6,0.28,1.2,0.7,0
23.0,47.6,0.14,1.4,0.64,0
28.3,59.7,0.17,1.3,0.53,0
26.5,64.1,0.25,1.1,0.7,0
24.0,51.2,0.07,1.3,0.58,-1
24.1,51.4,0.06,1.2,0.55,0
23.8,51.4,0.06,1.4,0.96,1
24.3,51.1,0.07,1.1,0.65,0
24.3,46.0,0.08,1.1,0.65,0
24.0,52.5,0.07,1.2,0.75,-2
23.3,52.7,0.08,1.3,0.58,0
23.2,50.3,0.11,1.3,0.49,-2
25.1,40.8,0.02,1.1,0.66,-3
23.9,52.3,0.07,1.2,1.13,-1
24.7,52.1,0.04,1.3,0.56,0
24.8,45.9,0.06,1.3,0.47,0
26.1,48.9,0.05,1.3,0.71,-1
26.9,45.2,0.07,1.3,0.8,-1
27.8,59.9,0.23,1.3,0.4,1
28.1,57.3,0.2,1.4,0.59,1
28.4,56.6,0.76,1.4,0.44,0
28.9,54.2,0.24,1.3,0.53,0
29.2,53.0,0.68,1.1,0.49,1
29.2,53.6,0.16,1.3,0.4,1
29.2,53.6,0.21,1.1,0.44,1
29.1,52.4,0.05,1.3,0.46,1
29.2,52.1,0.21,1.6,0.51,1
28.7,51.7,0.19,1.3,0.44,0
28.6,52.0,0.12,1.3,0.55,0
29.2,53.7,0.2,1.4,0.74,0
29.2,54.0,0.17,1.4,0.67,-1
27.8,60.5,0.21,1.1,0.7,0
23.5,46.8,0.07,1.1,0.57,0
23.7,46.2,0.12,1.4,0.63,0
23.6,46.4,0.37,1.1,0.7,-1
23.4,44.2,0.02,1.4,0.7,0
26.2,39.6,0.13,1.1,0.64,0
24.0,42.2,0.08,1.6,0.7,0
23.6,44.1,0.07,1.4,0.57,-1
23.8,41.7,0.15,1.1,0.7,0
23.2,42.3,0.05,1.1,0.7,0
22.5,44.4,0.12,1.1,0.53,0
25.0,40.6,0.08,1.1,0.74,0
29.8,41.7,0.08,1.1,0.68,0
23.4,43.0,0.08,1.1,0.74,-1
23.3,43.2,0.06,1.1,0.68,-1
23.0,43.4,0.12,1.1,0.68,0
23.2,44.9,0.19,1.1,0.74,-1
23.0,44.8,0.18,1.1,0.61,-2
23.2,44.3,0.1,1.1,0.68,0
23.2,44.0,0.1,1.1,0.57,-1
23.1,43.6,0.15,1.6,0.74,0
22.8,44.6,0.36,1.1,0.68,-2
22.9,44.9,0.1,1.1,0.78,-3
23.0,44.3,0.1,1.1,0.8,-2
23.1,43.8,0.09,1.1,0.74,1
23.3,43.6,0.1,1.3,0.63,-1
23.4,43.2,0.09,1.1,0.66,-2
23.2,44.3,0.11,1.3,0.63,0
23.1,44.1,0.07,1.3,0.74,0
23.4,44.7,0.08,1.1,0.74,0
23.7,43.4,0.1,1.1,0.74,0
23.6,43.4,0.13,1.1,0.7,0
23.6,45.8,0.06,1.6,0.64,0
24.0,46.1,0.06,1.4,0.7,0
24.7,48.1,0.12,1.7,0.64,0
23.6,46.7,0.07,1.6,0.7,0
23.2,46.9,0.09,1.4,0.57,-1
22.9,47.7,0.16,1.1,0.7,-1
23.1,47.9,0.06,1.1,0.7,-2
23.0,47.3,0.06,1.3,0.7,0
22.8,47.9,0.07,1.1,0.7,-1
22.6,48.2,0.09,1.4,0.64,0
23.0,48.4,0.09,1.4,0.7,0
23.1,47.6,0.14,1.1,0.57,-1
23.1,48.1,0.03,1.1,0.7,0
23.2,47.8,0.06,1.6,0.64,0
23.2,48.1,0.07,1.1,0.57,-1
22.9,47.5,0.13,1.1,0.55,-1
24.1,51.4,0.06,1.3,1.15,0
22.8,48.3,0.1,1.6,0.55,-1
23.0,47.5,0.11,1.1,0.64,-1
23.1,47.8,0.12,1.4,0.7,0
22.8,47.3,0.08,1.1,0.7,0
22.9,47.3,0.03,1.6,0.7,1
22.9,47.4,0.11,1.6,0.64,-2
25.4,41.5,0.06,1.7,0.59,0
23.8,44.8,0.05,1.7,0.64,0
23.4,45.1,0.06,1.7,0.7,0
22.9,44.8,0.14,1.4,0.59,-1
22.6,46.0,0.11,1.4,0.7,0
23.1,46.7,0.12,1.1,0.57,0
23.9,47.8,0.05,1.6,0.57,-1
24.2,45.2,0.05,1.4,0.7,0
23.0,48.5,0.05,1.4,0.7,0
23.1,51.5,0.14,1.2,0.58,-1
23.2,52.2,0.11,1.4,0.63,-1
25.7,50.4,0.04,1.2,0.77,-1
26.7,44.8,0.01,1.2,0.65,0
25.0,47.8,0.03,1.2,0.57,0
24.8,48.0,0.08,1.3,0.44,0
24.8,46.9,0.08,1.3,0.59,-1
22.7,52.5,0.2,1.2,0.55,-1
24.4,47.8,0.11,1.0,0.84,-1
23.3,48.3,0.05,1.3,0.55,1
25.7,46.5,0.04,1.1,0.6,-1
24.3,44.3,0.06,1.2,1.43,-3
24.1,43.7,0.07,1.1,0.47,-2
24.4,45.1,0.04,1.2,0.83,1
25.1,44.0,0.02,1.1,0.59,-1
26.5,51.5,0.02,1.2,0.55,0
26.5,51.8,0.03,1.1,0.6,-1
26.4,53.5,0.03,1.1,0.56,0
26.0,39.2,0.04,1.3,0.55,0
24.8,43.5,0.08,1.0,1.13,-2
23.8,53.5,0.04,1.1,0.55,-1
25.9,52.0,0.02,1.1,1.0,-1
25.9,54.3,0.02,1.1,0.76,1
24.4,56.4,0.04,1.2,0.8,0
25.7,53.1,0.01,1.1,0.64,1
26.9,53.0,0.05,1.1,1.04,0
26.7,53.8,0.09,1.1,0.44,0
26.5,52.8,0.03,1.3,1.1,-1
26.8,51.1,0.02,1.2,0.49,0
26.7,52.1,0.03,1.3,0.55,0
26.8,45.5,0.02,1.4,0.61,-2
24.2,48.5,0.12,1.1,0.69,0
23.6,49.0,0.11,1.2,0.69,1
26.5,46.6,0.01,1.7,0.61,0
26.1,48.0,0.12,1.4,0.73,1
24.2,49.2,0.09,1.3,0.64,0
24.7,42.2,0.02,1.1,0.55,-1
25.1,47.3,0.06,1.1,0.9,0
24.5,43.1,0.11,1.1,0.49,0
23.8,41.8,0.1,1.1,0.79,0
23.5,48.6,0.05,1.1,0.51,0
24.3,43.9,0.03,1.1,0.68,0
24.5,41.5,0.09,1.1,0.49,-1
24.4,44.7,0.04,1.4,0.49,1
27.3,47.3,0.12,1.1,0.86,0
27.5,47.8,0.03,1.1,1.0,-1
27.3,47.3,0.12,1.2,0.98,-1
25.9,52.2,0.01,1.2,0.47,-1
24.5,50.7,0.22,1.1,0.54,0
22.9,52.4,0.33,1.3,0.93,-2
23.5,47.4,0.21,1.6,0.49,0
23.9,48.7,0.07,1.4,0.58,0
23.2,51.7,0.07,1.3,1.3,0
25.3,47.6,0.04,1.1,0.58,-1
25.2,45.9,0.05,1.0,0.71,0
25.3,47.6,0.04,1.3,0.71,1
24.0,45.7,0.02,1.3,0.61,-1
25.2,45.9,0.05,1.1,0.96,0
25.5,46.3,0.03,1.2,1.06,1
25.0,43.6,0.02,1.3,0.53,1
23.0,53.8,0.16,1.1,0.71,0
24.5,47.2,0.11,1.2,0.54,-1
25.4,43.5,0.08,1.2,0.6,0
23.6,42.4,0.09,1.1,0.53,0
25.8,52.5,0.02,1.1,0.55,0
26.7,52.1,0.14,1.1,0.63,-1
26.4,53.4,0.01,1.1,1.17,0
26.4,53.0,0.01,1.1,0.69,1
26.4,52.8,0.01,1.5,0.42,-2
26.4,53.2,0.02,1.1,0.62,-1
26.4,52.9,0.06,1.2,0.52,0
26.8,53.4,0.0,1.2,0.98,0
24.8,46.5,0.02,1.3,0.59,1
26.7,43.9,0.1,1.4,0.6,-1
25.2,40.4,0.02,1.1,0.55,-2
24.9,51.5,0.01,1.4,0.88,2
26.7,53.4,0.02,1.1,0.61,-1
25.9,52.1,0.01,1.3,0.95,1
24.2,42.7,0.13,1.0,0.43,-2
24.2,45.0,0.05,1.3,0.91,-1
24.2,45.3,0.11,1.2,1.17,-1
24.5,45.4,0.12,1.2,0.71,-1
